cat_id,field,value,valid_starting_at,valid_ending_at
19014973,url,https://catcafebk.com/our-cats/?cat=19014973,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19014973,cat_name,Bing & Bang,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19014973,age,5 Months 5 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19014973,cafe_cat,True,2023-07-08 16:27:17+00:00,
19014973,kid_approved,True,2023-07-08 16:27:17+00:00,
19014973,dog_approved,True,2023-07-08 16:27:17+00:00,
19014973,companion_cat,False,2023-07-08 16:27:17+00:00,
19014973,bonded_pair,True,2023-07-08 16:27:17+00:00,
19014973,single_cat,False,2023-07-08 16:27:17+00:00,
19014973,type,Domestic Short Hair ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19014973,description,"This gorgeous brother and sister love each other completely. They play continuously and love cuddling up together or with their humans during naps. Bang’s sweet face will make you melt. He loves to lay next to you and get head rubs and pets, rewarding you with non-stop purrs. While more reserved than his sister, her bravery rubs off and helps him out of his shell. Bing is charming and extremely affectionate ways. She loves to lay on your chest, cuddle and give kisses while you watch TV. Bing goes crazy for treats and Bang will patiently wait for his sister to be done to get his turn. She’ll also happily jump into your lap and demand cuddles. They’re super gentle with school age children, other cats and small dogs.",2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19061854,url,https://catcafebk.com/our-cats/?cat=19061854,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19061854,cat_name,Blithedale & Carbuncle,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19061854,age,8 Months 28 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19061854,gender, Female,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
19061854,cafe_cat,False,2023-07-08 16:27:17+00:00,
19061854,kid_approved,True,2023-07-08 16:27:17+00:00,
19061854,dog_approved,True,2023-07-08 16:27:17+00:00,
19061854,companion_cat,False,2023-07-08 16:27:17+00:00,
19061854,bonded_pair,True,2023-07-08 16:27:17+00:00,
